Symbol,Name,Exchange,add_to_asset
YTC.VN,Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,VnStock,0
YEG.VN,Công ty Cổ phần Tập đoàn Yeah1,VnStock,1
YBM.VN,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,VnStock,1
YBC.VN,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái,VnStock,0
XPH.VN,Công ty Cổ phần Xà phòng Hà Nội,VnStock,0
XMP.VN,Công ty Cổ phần Thủy điện Xuân Minh,VnStock,0
XMD.VN,Công ty Cổ phần Xuân Mai - Đạo Tú,VnStock,0
XMC.VN,Công ty cổ phần Đầu tư và Xây dựng Xuân Mai,VnStock,0
XLV.VN,Công ty Cổ phần Xây lắp và Dịch vụ Sông Đà,VnStock,0
XHC.VN,Công ty Cổ phần Xuân Hòa Việt Nam,VnStock,0
XDH.VN,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,VnStock,0
XDC.VN,Công ty Cổ phần Xây dựng Công trình Tân Cảng,VnStock,0
X77.VN,Công ty Cổ phần Thành An 77,VnStock,0
X26.VN,Công ty Cổ phần 26,VnStock,0
X20.VN,Công ty Cổ phần X20,VnStock,0
WTC.VN,Công ty Cổ phần Vận tải thủy - Vinacomin,VnStock,0
WSS.VN,Công ty Cổ phần Chứng khoán Phố Wall,VnStock,0
WSB.VN,Công ty Cổ phần Bia Sài Gòn - Miền Tây,VnStock,0
WCS.VN,Công ty Cổ phần Bến xe Miền Tây,VnStock,0
VXT.VN,Công ty Cổ phần Kho vận và dịch vụ thương mại,VnStock,0
VXP.VN,Công ty Cổ phần Thuốc Thú y Trung ương VETVACO,VnStock,0
VXB.VN,Công ty Cổ phần Vật liệu xây dựng Bến Tre,VnStock,0
VWS.VN,Công ty Cổ phần Nước và Môi trường Việt Nam,VnStock,0
VW3.VN,Công ty Cổ phần VIWASEEN3,VnStock,0
VVS.VN,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,VnStock,0
VVN.VN,Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam,VnStock,0
VUA.VN,Công ty Cổ phần Chứng khoán Stanley Brothers,VnStock,0
VTZ.VN,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,VnStock,0
VTX.VN,Công ty Cổ phần Vận tải Đa phương thức VIETRANSTIMEX,VnStock,0
VTV.VN,Công ty Cổ phần Năng lượng và Môi trường VICEM,VnStock,0
VTS.VN,Công ty Cổ phần Gạch Ngói Từ Sơn,VnStock,0
VTR.VN,Công ty Cổ phần Du lịch Vietravel,VnStock,0
VTQ.VN,Công ty Cổ phần Việt Trung Quảng Bình,VnStock,0
VTP.VN,Tổng Công ty Cổ phần Bưu chính Viettel,VnStock,1
VTO.VN,Công ty Cổ phần Vận tải Xăng dầu VITACO,VnStock,1
VTM.VN,Công ty Cổ phần Vận tải và Đưa đón thợ mỏ - Vinacomin,VnStock,0
VTL.VN,Công ty Cổ phần Vang Thăng Long,VnStock,0
VTK.VN,Công ty Cổ phần Tư vấn và Dịch vụ Viettel,VnStock,0
VTJ.VN,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA,VnStock,0
VTI.VN,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Dệt may,VnStock,0
VTH.VN,Công ty Cổ phần Dây cáp điện Việt Thái,VnStock,0
VTG.VN,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,VnStock,0
VTE.VN,Công ty Cổ phần VINACAP Kim Long,VnStock,0
VTD.VN,Công ty Cổ phần Vietourist Holdings,VnStock,0
VTC.VN,Công ty Cổ phần Viễn Thông VTC,VnStock,0
VTB.VN,Công ty Cổ phần Viettronics Tân Bình,VnStock,1
VTA.VN,Công ty Cổ phần VITALY,VnStock,0
VST.VN,Công ty Cổ phần Vận tải và Thuê Tàu biển Việt Nam,VnStock,0
VSP.VN,Công ty Cổ phần Vận tải biển và Bất động sản Việt Hải,VnStock,0
VSN.VN,Công ty Cổ phần Việt Nam Kỹ Nghệ Súc Sản,VnStock,0
VSM.VN,Công ty Cổ phần Container Miền Trung,VnStock,0
VSI.VN,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,VnStock,1
VSH.VN,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,VnStock,1
VSG.VN,Công ty Cổ phần Container Phía Nam,VnStock,0
VSF.VN,Tổng Công ty Lương thực Miền Nam - Công ty Cổ phần,VnStock,0
VSE.VN,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam,VnStock,0
VSC.VN,Công ty Cổ phần Container Việt Nam,VnStock,1
VSA.VN,Công ty Cổ phần Đại lý Hàng hải Việt Nam,VnStock,0
VRG.VN,Công ty Cổ phần Phát triển Đô thị và Khu Công nghiệp Cao Su Việt Nam,VnStock,0
VRE.VN,Công ty Cổ phần Vincom Retail,VnStock,1
VRC.VN,Công ty Cổ phần Bất động sản và Đầu tư VRC,VnStock,1
VQC.VN,Công ty Cổ phần Giám định Vinaconmin,VnStock,0
VPW.VN,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc,VnStock,0
VPS.VN,Công ty Cổ phần Thuốc sát trùng Việt Nam,VnStock,1
VPR.VN,Công ty Cổ phần VINAPRINT,VnStock,0
VPL.VN,Công ty Cổ phần Vinpearl,VnStock,1
VPI.VN,Công ty Cổ phần Phát triển Bất động sản Văn Phú,VnStock,1
VPH.VN,Công ty Cổ phần Vạn Phát Hưng,VnStock,1
VPG.VN,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VnStock,1
VPD.VN,Công ty Cổ phần Phát triển Điện lực Việt Nam,VnStock,1
VPC.VN,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam,VnStock,0
VPB.VN,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VnStock,1
VPA.VN,Công ty Cổ phần Vận tải Hóa dầu VP,VnStock,0
VOS.VN,Công ty Cổ phần Vận tải Biển Việt Nam,VnStock,1
VOC.VN,Tổng Công ty Công nghiệp Dầu thực vật Việt Nam - Công ty Cổ phần,VnStock,0
VNZ.VN,Công ty Cổ phần Tập đoàn VNG,VnStock,0
VNY.VN,Công ty Cổ phần Thuốc thú y Trung ương I,VnStock,0
VNX.VN,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại Vinexad,VnStock,0
VNT.VN,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,VnStock,0
